Movie Name,Year,User Rating
Ramayana: The Legend of Prince Rama,1992,9
Leera the Soulmate,2018,8.9
Ejen Ali the Movie,2019,8.7
Mushi-Shi Zoku Shou: Suzu no Shizuku,2015,8.7
Pretty Cure Miracle Universe,2019,8.7
Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,2016,8.6
Aikatsu!,2014,8.6
Doraleous and Associates,2010,8.6
Sen to Chihiro no kamikakushi,2001,8.6
Joe Finds Grace,2017,8.6
Bee Team 2,2019,8.5
Eiga Purikyua ôru sutâzu DX: Minna tomodachi Kiseki no zen'in daishûgô,2009,8.5
Ostrov sokrovishch. Sokrovishcha kapitana Flinta,1989,8.5
Ostrov sokrovishch. Karta kapitana Flinta,1986,8.5
The YouTube Arc,2020,8.5
The Lion King,1994,8.5
Hotaru no haka,1988,8.5
Flåklypa Grand Prix,1975,8.5
Gekijouban Violet Evergarden,2020,8.4
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,2015,8.4
Bugs Bunny: Looney Tunes Cartoons 1942-1943 - Golden-Era Collection,2016,8.4
Kimi no na wa.,2016,8.4
Spider-Man: Into the Spider-Verse,2018,8.4
The Secret Princess,2016,8.4
Coco,I 2017,8.4
Starzinger III,2011,8.4
Starzinger II,2011,8.4
Given,2020,8.4
Primal: Tales of Savagery,2019,8.4
WALL·E,2008,8.4
Carobnjakov sesir,1990,8.4
Macskafogó,1986,8.4
Vuk,1981,8.4
Ostrov Sokrovishch,1989,8.4
Mononoke-hime,1997,8.4
Star Trek Enterprise II: Der Anfang vom Ende,2016,8.3
The Haunted House: The Secret of the Cave,2018,8.3
Kraftwerk: 3-D The Catalogue,2017,8.3
Amazing Trains,2017,8.3
Trash,I 2020,8.3
Todd McFarlane's Spawn 2,1998,8.3
Mumfie's Quest: The Movie,1996,8.3
A Beating Heart and Cracked Ceiling,2013,8.3
It's Such a Beautiful Day,2012,8.3
Gekijouban Gintama Kanketsu-hen: Yorozuyayo eien nare,2013,8.3
Kureyon Shinchan: Gekitotsu Rakugakingudamu to Hobo Shi-Ri no Yusha,2020,8.3
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.3
Jan Svankmajer: The Complete Short Films,2007,8.3
Toy Story 3,2010,8.3
Lúdas Matyi,1977,8.3
